title,company,location,how_old,link
ENGENHEIRO BACK-END PYTHON,ROIT,Home office,Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=11df664802ddb71f&fccid=881947d7f3319cbd&vjs=3
Senior Python Developer WORK |LATAM|,BairesDev,,Postedhá 10 dias,https://br.indeed.com/rc/clk?jk=9b1a778504c9f877&fccid=29707109e86166e5&vjs=3
Estágio Excelsior,Excelsior Seguros,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d71fe648636b440c&fccid=83f18676bc5738db&vjs=3
Analista BI I,GOL Linhas Aéreas,"Home office in São Paulo, SP",PostedHoje,https://br.indeed.com/company/GOL-Linhas-A%C3%A9ras/jobs/Analista-Bi-0d7f0371eb05ac26?fccid=4abbea6f16383dfd&vjs=3
Desenvolvedor Python (Flask e API),Turing.com,Home office,Postedhá 1 dia,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Python-cb76cbc0b7d324b5?fccid=a2e0cbec0b626661&vjs=3
QA Backend,Tech Mahindra,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=7ae4e47090158677&fccid=97299926ef79b544&vjs=3
Analista de Modelagem Sênior,Quod,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=49acdd70bcb81169&fccid=c27e202ff27e56c9&vjs=3
"Tech Lead Backend (Python, GCP e PostgreSQL)",Turing.com,Home office,PostedHoje,https://br.indeed.com/company/Turing.com/jobs/Tech-Lead-Backend-2b6ca32433ed6d15?fccid=a2e0cbec0b626661&vjs=3
PESSOA ENGENHEIRA DE MACHINE LEARNING JUNIOR,Neon Pagamentos,Home office in Brasil,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=adbd51fdb1ab8e29&fccid=f362771e1d0a24ae&vjs=3
Pessoa Desenvolvedora Python Plena,Aquarela Analytics,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1e3044fbf6f37dcc&fccid=31738c8eefec1252&vjs=3
Desenvolvedor(a) Full stack Python Vue.js,Visie Padrões Web,"Home office in Barueri, SP",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=593652c0d70746f8&fccid=68edc23d19933c87&vjs=3
Desenvolvedor(a) Front End,Não encontrada,Home office,Postedhá 14 dias,https://br.indeed.com/rc/clk?jk=76f84307215161eb&fccid=dd616958bd9ddc12&vjs=3
Dev Python/Django,Join Tecnologia & Design,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=853e9afaca3737ca&fccid=a623d38851ccc739&vjs=3
ECS | Backend Developer (Python/Go),Experian,"Blumenau, SC",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=c12500e346a41006&fccid=75a3a5a15b202084&vjs=3
Desenvolvedor Backend Junior,Venha ser um Blincteker,Home office,Postedhá 12 dias,https://br.indeed.com/rc/clk?jk=00244903a3157a03&fccid=4a927fe527458b51&vjs=3
ESPECIALISTA DE BI,UNICESUMAR,"Maringá, PR",EmployerAtiva 2 dias atrás,https://br.indeed.com/company/Unicesumar/jobs/Especialista-Bi-95dfcc09b3789506?fccid=668d3b69a1ed1b8d&vjs=3
Pessoa Desenvolvedora Back-end Python,GRAFENO,Home office,Postedhá 30 dias,https://br.indeed.com/rc/clk?jk=f0b4f9ed3a663c37&fccid=b2df90628328d927&vjs=3
"Desenvolvedor Frontend (Flask, CSS, Python, JavaScript, HTML, e REST)",Turing.com,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Frontend-f08f1dd4f0b5bbc2?fccid=a2e0cbec0b626661&vjs=3
Analista de Redes | Telecom,Globo,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=01debd71df34ab96&fccid=69cd436cef8c3dbe&vjs=3
Cientista de Dados I,Martins,Home office,Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=4762bb572046d16b&fccid=ad323c1a5fbaa4b3&vjs=3
Desenvolvedor Back End Typescript | Python Sênior,Mercafacil,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=9141164f01112506&fccid=e1d8d0a26265504b&vjs=3
ANALISTA DE PLANEJAMENTO JR - SELL OUT,Positivo Tecnologia,"Curitiba, PR",EmployerAtiva 9 dias atrás,https://br.indeed.com/company/Positivo-Tecnologia/jobs/Analista-Planejamento-Junior-ad9bc58c64a5bc5d?fccid=0d0653c8d098c271&vjs=3
Desenvolvedor Back-end (Python e TypeScript),Turing.com,Home office,PostedHoje,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Back-End-ae56aed50eac1b9c?fccid=a2e0cbec0b626661&vjs=3
Software Developer – Ansible/Python,IBM,"Hortolândia, SP",PostedHoje,https://br.indeed.com/rc/clk?jk=a578d87063b53908&fccid=de71a49b535e21cb&vjs=3
Quality Assurance Engineer - Remoto,Bnex,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Synapses-Holding-SA/jobs/Quality-Assurance-Engineer-dc9b0814cce84573?fccid=99d7d15d9db800a3&vjs=3
Pessoa Desenvolvedora Back-end Python [Sênior],Datum TI,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=f309633d79ccfbc9&fccid=e267f08170cab296&vjs=3
Desenvolvedor BackEnd PHP + Python | Resale,Red Pill RH,"Home office in Piracicaba, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=fdf9ae1c6b41c8a8&fccid=3c89af9be02f6666&vjs=3
Analista Desenvolvedor Python,Shopee,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=7ac5e47a52506d01&fccid=0b476c4a7add47fe&vjs=3
Pessoa Desenvolvedora Python,Venha para a NeuralMed,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d881a49f3071a214&fccid=67f074b0eda9108e&vjs=3
